Activity Label,Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Training Run,Running,2024-11-15 09:33:42,false,"Charlottesville Running","6.57","715","00:43:04","150","167","3.3","153","172","6:33","5:29","417","371","1.59","7.6","12.1","265","6:31","443","0.0","435","609","66.2","No","00:43:04","1","71.6","--","--","--","00:42:59","00:44:17","444","589"
Workout,Running,2024-11-12 07:35:01,false,"Charlottesville Running","8.01","763","00:55:31","134","151","2.7","143","236","6:56","3:39","128","112","1.57","7.4","11.2","264","6:57","419","0.0","382","730","66.2","No","00:00:03.7","21","75.2","--","--","--","00:53:53","01:21:41","537","576"
Training Run,Running,2024-11-11 07:45:33,false,"Charlottesville Running","8.93","856","01:00:21","130","164","2.9","152","212","6:46","5:30","459","433","1.55","7.7","11.8","265","6:45","426","0.0","417","645","66.2","No","01:00:21","1","75.2","--","--","--","01:00:01","01:15:19","364","553"
Recovery,Running,2024-11-10 11:21:53,false,"Charlottesville Running","5.52","587","00:40:16","134","149","2.6","150","163","7:17","5:34","394","394","1.47","8.1","11.9","285","7:13","410","0.0","403","567","73.4","No","00:40:16","1","82.4","--","--","--","00:40:14","00:41:12","390","591"
Long Run,Running,2024-11-09 09:40:04,false,"Charlottesville Running","13.50","1,434","01:22:23","157","189","4.4","154","218","6:06","4:06","1,070","1,129","1.69","7.2","12.1","250","6:03","477","0.0","465","755","68.0","No","01:22:23","1","77.0","--","--","--","01:22:04","01:45:42","344","605"
Workout,Running,2024-11-08 07:39:57,false,"Charlottesville Running","9.87","1,025","01:01:11","152","186","3.5","153","240","6:12","3:44","213","190","1.67","7.2","11.7","258","6:12","452","0.0","435","703","69.8","No","00:00:02.6","21","78.8","--","--","--","01:00:40","01:32:50","533","579"
Training Run,Running,2024-11-07 10:29:18,false,"Charlottesville Running","8.10","866","00:54:39","145","170","3.2","152","181","6:45","4:10","463","463","1.56","7.7","12.0","272","6:44","426","0.0","420","636","80.6","No","00:03:37.7","3","86.0","--","--","--","00:54:32","01:04:07","413","598"
Training Run,Running,2024-11-06 07:43:11,false,"Charlottesville Running","9.01","996","01:01:26","149","162","3.4","151","165","6:49","5:24","240","233","1.56","7.8","12.2","276","6:49","419","0.0","417","582","73.4","No","01:01:26","1","80.6","28","26","32","01:01:25","01:03:50","476","570"
Recovery,Running,2024-11-05 16:11:20,false,"Charlottesville Running","4.01","412","00:26:23","139","156","2.6","151","171","6:34","5:43","174","190","1.61","7.6","12.3","270","6:35","440","0.0","435","592","78.8","No","00:26:23","1","84.2","--","--","--","00:26:20","00:27:07","517","589"
Workout,Running,2024-11-05 09:32:16,false,"Albemarle County Running","10.01","1,023","01:02:54","152","188","3.6","146","195","6:17","3:47","262","279","1.72","6.9","11.5","255","6:17","463","0.0","425","703","73.4","No","00:00:02.4","19","84.2","32","19","44","01:00:52","01:29:46","304","389"
Training Run,Running,2024-11-04 07:55:58,false,"Charlottesville Running","10.00","1,044","01:07:05","143","160","3.3","151","167","6:42","6:02","627","643","1.58","7.7","12.2","272","6:38","435","0.0","428","616","62.6","No","01:07:05","1","77.0","--","--","--","01:06:58","01:13:53","449","612"
