Activity Label,Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Recovery,Running,2024-10-27 12:35:41,false,"Charlottesville Running","5.20","549","00:35:17","141","162","2.9","149","163","6:47","5:48","223","203","1.58","7.8","12.4","279","6:45","426","0.0","422","583","NaN","NaN","--","NaN","NaN","NaN","71.6","No","00:35:17","1","78.8","--","--","--","00:35:17","00:38:35","492","594"
Long Run,Running,2024-10-26 09:56:07,false,"Albemarle County Running","12.01","1,273","01:19:18","149","164","3.6","151","162","6:36","5:53","617","558","1.61","7.7","12.4","273","6:35","440","0.0","434","644","NaN","NaN","--","NaN","NaN","NaN","73.4","No","01:19:18","1","82.4","--","--","--","01:19:15","01:23:02","409","491"
Double,Running,2024-10-25 17:07:43,false,"Charlottesville Running","4.03","455","00:28:55","145","161","2.7","149","162","7:10","6:02","190","190","1.49","8.1","12.0","284","7:09","408","0.0","402","562","NaN","NaN","--","NaN","NaN","NaN","75.2","No","00:28:55","1","80.6","--","--","--","00:28:53","00:29:46","534","587"
Workout,Running,2024-10-25 08:01:23,false,"Albemarle County Running","9.02","895","00:58:10","148","177","3.4","144","214","6:27","3:41","341","364","1.70","7.1","11.6","256","6:27","455","0.0","413","751","NaN","NaN","--","NaN","NaN","NaN","53.6","No","00:00:42.2","10","71.6","--","--","--","00:55:40","01:29:39","306","387"
Training Run,Running,2024-10-24 09:59:32,false,"Charlottesville Running","9.21","904","00:59:20","140","164","3.2","151","167","6:26","5:06","610","669","1.64","7.5","12.3","264","6:23","455","0.0","445","642","NaN","NaN","--","NaN","NaN","NaN","71.6","No","00:59:20","1","80.6","--","--","--","00:59:11","01:03:59","327","606"
Training Run,Running,2024-10-23 08:17:52,false,"Charlottesville Running","9.00","877","01:00:49","125","138","3.0","151","161","6:45","6:01","433","413","1.57","7.8","12.1","272","6:44","427","0.0","422","566","NaN","NaN","--","NaN","NaN","NaN","55.4","No","01:00:49","1","78.8","--","--","--","01:00:43","01:04:51","440","600"
Double,Running,2024-10-22 16:26:02,false,"Charlottesville Running","4.12","431","00:28:19","140","152","2.5","150","177","6:52","5:44","230","246","1.56","7.8","12.2","277","6:50","423","0.0","417","562","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:28:19","1","84.2","--","--","--","00:28:15","00:29:47","482","588"
Workout,Running,2024-10-22 08:00:44,false,"Albemarle County Running","12.50","1,153","01:23:05","146","172","3.3","135","192","6:39","3:44","322","341","1.78","6.6","11.1","245","6:39","456","0.0","387","790","NaN","NaN","--","NaN","NaN","NaN","60.8","No","00:00:48.0","26","71.6","--","--","--","01:17:13","01:51:21","306","387"
Training Run,Running,2024-10-21 07:43:03,false,"Charlottesville Running","9.01","896","01:02:58","134","150","2.8","151","167","7:00","6:02","308","305","1.51","7.9","11.9","274","7:00","405","0.0","401","641","NaN","NaN","--","NaN","NaN","NaN","64.4","No","01:02:58","1","75.2","--","--","--","01:02:46","01:08:50","432","552"
Long Run,Running,2024-10-20 14:34:22,false,"Charlottesville Running","13.01","1,366","01:19:52","157","173","4.2","153","167","6:08","4:42","935","991","1.70","7.3","12.4","259","6:06","470","0.0","461","674","NaN","NaN","--","NaN","NaN","NaN","80.6","No","01:19:52","1","89.6","--","--","--","01:19:42","01:27:02","354","693"
Double,Running,2024-10-19 16:05:46,false,"Charlottesville Running","4.04","458","00:28:42","150","163","2.8","149","163","7:07","5:30","230","200","1.51","8.0","12.1","283","7:04","411","0.0","405","569","NaN","NaN","--","NaN","NaN","NaN","78.8","No","00:28:42","1","84.2","--","--","--","00:28:42","00:30:01","480","591"
WU/CD,Running,2024-10-19 09:41:29,false,"Albemarle County Running","2.50","283","00:19:41","144","159","2.1","144","158","7:52","6:36","52","39","1.40","8.4","11.9","299","7:54","359","0.0","360","468","NaN","NaN","--","NaN","NaN","NaN","66.2","No","00:19:41","1","77.0","--","--","--","00:19:34","00:47:18","503","525"
WU/CD,Running,2024-10-19 07:50:48,false,"Albemarle County Running","2.54","265","00:16:47","143","163","2.4","154","174","6:36","4:45","118","118","1.57","7.6","11.8","264","6:37","434","0.0","426","636","NaN","NaN","--","NaN","NaN","NaN","59.0","No","00:03:22.0","2","66.2","--","--","--","00:16:46","00:29:55","463","520"
Shakeout,Running,2024-10-19 05:54:11,false,"Charlottesville Running","0.73","93","00:05:39.3","160","170","1.6","154","167","7:48","5:57","118","66","1.36","8.3","11.2","281","7:31","394","0.0","381","531","NaN","NaN","--","NaN","NaN","NaN","73.4","No","00:05:39.3","1","75.2","--","--","--","00:05:37","00:05:39.3","549","596"
Training Run,Running,2024-10-18 08:40:35,false,"Charlottesville Running","5.05","491","00:34:22","133","149","2.4","150","161","6:48","5:53","256","240","1.56","7.8","12.2","275","6:49","421","0.0","416","586","NaN","NaN","--","NaN","NaN","NaN","60.8","No","00:34:22","1","73.4","--","--","--","00:34:14","00:37:06","487","594"
Training Run,Running,2024-10-17 14:49:34,false,"Charlottesville Running","7.01","698","00:46:27","139","158","3.0","150","163","6:38","5:32","381","417","1.60","7.7","12.4","274","6:37","443","0.0","434","608","NaN","NaN","--","NaN","NaN","NaN","75.2","No","00:46:27","1","84.2","--","--","--","00:46:23","00:48:28","371","582"
Double,Running,2024-10-16 16:20:09,false,"Charlottesville Running","4.01","413","00:27:19","137","154","2.5","150","163","6:49","6:05","194","203","1.56","7.8","12.2","277","6:47","427","0.0","421","552","NaN","NaN","--","NaN","NaN","NaN","68.0","No","00:27:19","1","75.2","--","--","--","00:27:18","00:27:30","519","587"
Workout,Running,2024-10-16 07:39:18,false,"Charlottesville Running","7.01","716","00:47:57","143","174","2.9","146","193","6:51","3:47","161","154","1.58","7.6","11.5","271","6:51","429","0.0","397","694","NaN","NaN","--","NaN","NaN","NaN","55.4","No","00:00:03.6","19","73.4","30","14","39","00:46:28","01:20:01","539","591"
Training Run,Running,2024-10-15 09:16:44,false,"Albemarle County Running","9.01","937","00:59:45","146","162","3.2","153","161","6:38","5:53","505","502","1.58","7.7","12.1","269","6:36","438","0.0","431","607","NaN","NaN","--","NaN","NaN","NaN","64.4","No","00:59:45","1","73.4","31","13","39","00:59:40","01:01:39","703","855"
Workout,Running,2024-10-14 09:03:02,false,"Albemarle County Running","9.01","973","00:58:41","157","186","3.7","140","200","6:31","4:06","371","322","1.74","7.0","11.6","256","6:31","461","0.0","411","738","NaN","NaN","--","NaN","NaN","NaN","66.2","No","00:01:18.0","16","78.8","34","18","46","00:56:45","01:31:55","297","384"
